,Unnamed: 0,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
46303,46303,2020-02-16 21:00:00,4145.1320457699185,3164.141246318776,8547.564026252328,2711.030018401349,5626.899235362971,1606.0768831885255,1606.0768831885255,1606.0768831885255,191.56448315593212,191.56448315593212,191.56448315593212,202.04775599312603,202.04775599312603,202.04775599312603,1212.4646440394672,1212.4646440394672,1212.4646440394672,0.0,0.0,0.0,5751.208928958445
46304,46304,2020-02-17 21:00:00,4146.865434648498,2561.094106319122,8568.006015417192,2712.217936989182,5635.087409950876,1381.1152374245605,1381.1152374245605,1381.1152374245605,191.564483155925,191.564483155925,191.564483155925,-34.969174481521584,-34.969174481521584,-34.969174481521584,1224.519928750157,1224.519928750157,1224.519928750157,0.0,0.0,0.0,5527.980672073058
46305,46305,2020-02-18 21:00:00,4148.598823527076,2776.294230832857,8216.350625321575,2713.405855577014,5647.684422624124,1315.2380287731153,1315.2380287731153,1315.2380287731153,191.5644831562933,191.5644831562933,191.5644831562933,-115.33628314648487,-115.33628314648487,-115.33628314648487,1239.0098287633064,1239.0098287633064,1239.0098287633064,0.0,0.0,0.0,5463.836852300192
46306,46306,2020-02-19 21:00:00,4150.332212405655,2905.786862259159,8399.09838407654,2710.516015324706,5653.822969539363,1501.5751126006394,1501.5751126006394,1501.5751126006394,191.5644831556386,191.5644831556386,191.5644831556386,54.24483483671107,54.24483483671107,54.24483483671107,1255.7657946082895,1255.7657946082895,1255.7657946082895,0.0,0.0,0.0,5651.907325006294
46307,46307,2020-02-20 21:00:00,4152.065601284234,2545.012698293905,8313.14570108308,2699.0876900860308,5658.401167370035,1310.436858710667,1310.436858710667,1310.436858710667,191.56448315600696,191.56448315600696,191.56448315600696,-155.66915835980186,-155.66915835980186,-155.66915835980186,1274.5415339144615,1274.5415339144615,1274.5415339144615,0.0,0.0,0.0,5462.502459994901
46308,46308,2020-02-21 21:00:00,4153.798990162813,2788.9642333490615,8219.615946186206,2688.3401024622603,5668.400205156815,1394.8760730755328,1394.8760730755328,1394.8760730755328,191.5644831559998,191.5644831559998,191.5644831559998,-91.7053390075674,-91.7053390075674,-91.7053390075674,1295.0169289271005,1295.0169289271005,1295.0169289271005,0.0,0.0,0.0,5548.6750632383455
46309,46309,2020-02-22 21:00:00,4155.5323790413895,3127.913451027283,8648.921767950933,2682.043948137641,5684.5990597557275,1649.7557756002218,1649.7557756002218,1649.7557756002218,191.56448315572064,191.56448315572064,191.56448315572064,141.3873641659532,141.3873641659532,141.3873641659532,1316.803928278548,1316.803928278548,1316.803928278548,0.0,0.0,0.0,5805.288154641613
46310,46310,2020-02-23 21:00:00,4157.265767919969,3189.7065578085944,8689.436950384246,2680.1061972872226,5692.255461695511,1733.0664861966202,1733.0664861966202,1733.0664861966202,191.56448315571348,191.56448315571348,191.56448315571348,202.0477559926157,202.0477559926157,202.0477559926157,1339.4542470482907,1339.4542470482907,1339.4542470482907,0.0,0.0,0.0,5890.332254116589
46311,46311,2020-02-24 21:00:00,4158.999156798547,2760.8111565259883,8370.451715634877,2676.21776890866,5694.397974435094,1519.0639691394504,1519.0639691394504,1519.0639691394504,191.56448315608182,191.56448315608182,191.56448315608182,-34.969174481610914,-34.969174481610914,-34.969174481610914,1362.4686604649796,1362.4686604649796,1362.4686604649796,0.0,0.0,0.0,5678.063125937998
46312,46312,2020-02-25 21:00:00,4160.732545677126,2959.9981878589238,8414.938645609775,2671.4762184946867,5696.540487174677,1461.535834705455,1461.535834705455,1461.535834705455,191.56448315607463,191.56448315607463,191.56448315607463,-115.33628314643957,-115.33628314643957,-115.33628314643957,1385.30763469582,1385.30763469582,1385.30763469582,0.0,0.0,0.0,5622.26838038258
